taste;Lactic;Acetic;H2S;Mouse_type
12,3;0,86;4,543;3,135;western European house mouse
20,9;1,53;5,159;5,043;Japanese wild mouse
39;1,57;5,366;5,438;Japanese wild mouse
47,9;1,81;5,759;7,496;Japanese wild mouse
5,6;0,99;4,663;3,807;western European house mouse
25,9;1,09;5,697;7,601;Japanese wild mouse
37,3;1,29;5,892;8,726;Japanese wild mouse
21,9;1,78;6,078;7,966;western European house mouse
18,1;1,29;4,898;3,85;western European house mouse
21;1,58;5,242;4,174;Japanese wild mouse
34,9;1,68;5,74;6,142;Japanese wild mouse
57,2;1,9;6,446;7,908;Japanese wild mouse
0,7;1,06;4,477;2,996;western European house mouse
25,9;1,3;5,236;4,942;western European house mouse
54,9;1,52;6,151;6,752;Japanese wild mouse
40,9;1,74;6,365;9,588;Japanese wild mouse
15,9;1,16;4,787;3,912;western European house mouse
6,4;1,49;5,412;4,7;western European house mouse
18;1,63;5,247;6,174;western European house mouse
38,9;1,99;5,438;9,064;Japanese wild mouse
14;1,15;4,564;4,949;western European house mouse
15,2;1,33;5,298;5,22;western European house mouse
32;1,44;5,455;9,242;Japanese wild mouse
56,7;2,01;5,855;10,199;Japanese wild mouse
16,8;1,31;5,366;3,664;Japanese wild mouse
11,6;1,46;6,043;3,219;western European house mouse
26,5;1,72;6,458;6,962;western European house mouse
0,7;1,25;5,328;3,912;western European house mouse
13,4;1,08;5,802;6,685;Japanese wild mouse
5,5;1,25;6,176;4,787;western European house mouse
